"","Club","Div","GK","F1","F2","M1","M2","M3","M4","D1","D2","D3","D4","B1","B2","B3","B4","B5","B6","B7","Overall","Goalkeeper","Attacking","Midfield","Defense","Bench","LGmeanOvr","LGmeanAtt","LGmeanDef","OvrvsMean","AttvsMean","DefvsMean","homeGF","awayGF","homeGA","awayGA","homeDiff","awayDiff","GF","GA","Diff","LGmeanGoals","GFvsMean","GAvsMean","year"
"67","Cardiff","E1",75,72,71,72,71,70,70,72,71,71,70,70,70,69,69,69,69,69,71.3636363636364,75,71.5,70.75,71,69.2857142857143,71.5871212121212,71.3541666666667,71.6145833333333,-0.223484848484858,0.145833333333329,-0.614583333333329,1.34782608695652,1.26086956521739,1.1304347826087,1.52173913043478,0.217391304347826,-0.260869565217391,1.30434782608696,1.32608695652174,-0.0217391304347827,1.30525362318841,-0.000905797101449224,-0.0208333333333335,"2017"
"68","Carlisle","E3",61,64,63,66,65,65,64,66,63,63,60,64,63,63,63,63,60,60,63.6363636363636,61,63.5,65,63,62.2857142857143,63.1666666666667,62.9375,63.2395833333333,0.469696969696969,0.5625,-0.239583333333336,1.47826086956522,1.52173913043478,1.47826086956522,1.47826086956522,0,0.0434782608695654,1.5,1.47826086956522,0.0217391304347827,1.32699275362319,0.173007246376812,-0.151268115942029,"2017"
"69","Carpi","I2",73,73,72,73,72,72,70,73,71,71,69,70,69,68,67,66,66,62,71.7272727272727,73,72.5,71.75,71,66.8571428571429,68.9917355371901,70.0681818181818,68.5227272727273,2.73553719008265,2.43181818181819,2.47727272727273,1.14285714285714,0.80952380952381,0.761904761904762,1.14285714285714,0.380952380952381,-0.333333333333333,0.976190476190476,0.952380952380952,0.0238095238095238,1.10497835497835,-0.128787878787879,0.152597402597403,"2017"
"70","Celta","SP1",77,83,79,80,80,80,78,80,80,78,77,78,78,77,77,77,75,75,79.2727272727273,77,81,79.5,78.75,76.7142857142857,79.2909090909091,80.05,78.6125,-0.0181818181818301,0.950000000000003,0.137500000000003,1.57894736842105,1.21052631578947,1.68421052631579,1.94736842105263,-0.105263157894737,-0.736842105263158,1.39473684210526,1.81578947368421,-0.421052631578947,1.47105263157895,-0.0763157894736841,-0.344736842105263,"2017"
"71","Celtic","SC0",73,74,73,76,74,73,72,76,75,75,73,72,72,70,70,70,70,70,74,73,73.5,73.75,74.75,70.5714285714286,67.2651515151515,66.9583333333333,66.9166666666667,6.73484848484848,6.54166666666667,7.83333333333333,2.47368421052632,3.10526315789474,0.421052631578947,0.894736842105263,2.05263157894737,2.21052631578947,2.78947368421053,0.657894736842105,2.13157894736842,1.3781798245614,1.41129385964912,0.720285087719298,"2017"
"72","Cesena","I2",70,73,69,73,71,70,69,72,71,71,67,70,68,67,67,67,66,65,70.5454545454545,70,71,70.75,70.25,67.1428571428571,68.9917355371901,70.0681818181818,68.5227272727273,1.55371900826447,0.931818181818187,1.72727272727273,1.38095238095238,1.04761904761905,0.761904761904762,1.52380952380952,0.619047619047619,-0.476190476190476,1.21428571428571,1.14285714285714,0.0714285714285716,1.10497835497835,0.109307359307359,-0.0378787878787878,"2017"
"73","Charleroi","B1",74,73,70,72,71,71,71,73,72,70,70,71,70,70,69,68,68,67,71.5454545454545,74,71.5,71.25,71.25,69,71.2329545454545,71.34375,70.5,0.3125,0.15625,0.75,1.4,0.866666666666667,0.933333333333333,1,0.466666666666667,-0.133333333333333,1.13333333333333,0.966666666666667,0.166666666666667,1.37083333333333,-0.2375,0.404166666666667,"2017"
"74","Charlton","E2",71,69,69,71,69,69,69,70,70,69,69,67,66,66,66,66,65,65,69.5454545454545,71,69,69.5,69.5,65.8571428571429,65.8068181818182,65.8333333333333,65.8125,3.73863636363636,3.16666666666667,3.6875,1.34782608695652,1.26086956521739,0.826086956521739,1.47826086956522,0.521739130434783,-0.217391304347826,1.30434782608696,1.15217391304348,0.152173913043478,1.28351449275362,0.0208333333333333,0.131340579710145,"2017"
"75","Chaves","P1",74,72,71,74,73,70,65,74,73,71,70,70,70,69,69,68,68,66,71.5454545454545,74,71.5,70.5,72,68.5714285714286,73.2323232323232,73.0833333333333,72.9027777777778,-1.68686868686869,-1.58333333333333,-0.902777777777771,1.11764705882353,0.941176470588235,0.882352941176471,1.58823529411765,0.235294117647059,-0.647058823529412,1.02941176470588,1.23529411764706,-0.205882352941177,1.18954248366013,-0.160130718954248,-0.0457516339869282,"2017"
"76","Chelsea","E0",89,89,86,86,85,84,83,84,83,83,81,83,83,80,80,79,78,76,84.8181818181818,89,87.5,84.5,82.75,79.8571428571429,79.8136363636364,80.35,78.9,5.00454545454545,7.15000000000001,3.84999999999999,2.89473684210526,1.57894736842105,0.894736842105263,0.842105263157895,2,0.736842105263158,2.23684210526316,0.868421052631579,1.36842105263158,1.4,0.836842105263158,0.531578947368421,"2017"
"77","Cheltenham","E3",66,62,60,65,62,61,60,59,59,59,58,59,58,58,58,57,57,57,61,66,61,62,58.75,57.7142857142857,63.1666666666667,62.9375,63.2395833333333,-2.16666666666666,-1.9375,-4.48958333333334,1.17391304347826,0.956521739130435,1.08695652173913,1.91304347826087,0.0869565217391306,-0.956521739130435,1.06521739130435,1.5,-0.434782608695652,1.32699275362319,-0.261775362318841,-0.173007246376812,"2017"
"78","Chesterfield","E2",67,69,63,65,64,63,63,66,65,65,65,65,64,62,62,61,61,61,65,67,66,63.75,65.25,62.2857142857143,65.8068181818182,65.8333333333333,65.8125,-0.806818181818187,0.166666666666671,-0.5625,1.1304347826087,0.739130434782609,1.69565217391304,1.69565217391304,-0.565217391304348,-0.956521739130435,0.934782608695652,1.69565217391304,-0.760869565217391,1.28351449275362,-0.348731884057971,-0.41213768115942,"2017"
"79","Chievo","I1",80,76,75,79,77,77,77,78,76,76,75,77,76,74,74,74,74,73,76.9090909090909,80,75.5,77.5,76.25,74.5714285714286,77.6590909090909,78.5,77.1125,-0.75,-3,-0.862499999999997,1.31578947368421,0.947368421052632,1.57894736842105,1.63157894736842,-0.263157894736842,-0.684210526315789,1.13157894736842,1.60526315789474,-0.473684210526316,1.47763157894737,-0.346052631578947,-0.127631578947368,"2017"
"80","Cittadella","I2",65,69,65,69,68,67,65,66,64,64,64,65,65,64,62,62,62,61,66,65,67,67.25,64.5,63,68.9917355371901,70.0681818181818,68.5227272727273,-2.99173553719008,-3.06818181818181,-4.02272727272727,1.76190476190476,1.0952380952381,1.0952380952381,1.47619047619048,0.666666666666667,-0.380952380952381,1.42857142857143,1.28571428571429,0.142857142857143,1.10497835497835,0.323593073593074,-0.180735930735931,"2017"
"81","Clermont","F2",68,65,65,70,69,69,66,70,67,67,67,66,65,65,65,65,64,63,67.5454545454545,68,65,68.5,67.75,64.7142857142857,68.1545454545455,68.55,67.8875,-0.609090909090909,-3.55,-0.137500000000003,1.05263157894737,1.36842105263158,1.05263157894737,1.47368421052632,0,-0.105263157894737,1.21052631578947,1.26315789473684,-0.0526315789473684,1.24078947368421,-0.0302631578947368,-0.0223684210526316,"2017"
"82","Club Brugge","B1",76,78,76,78,76,75,74,76,76,74,74,76,74,73,73,73,72,71,75.7272727272727,76,77,75.75,75,73.1428571428571,71.2329545454545,71.34375,70.5,4.49431818181819,5.65625,4.5,2.6,1.13333333333333,0.8,0.8,1.8,0.333333333333333,1.86666666666667,0.8,1.06666666666667,1.37083333333333,0.495833333333333,0.570833333333333,"2017"
"83","Colchester","E3",63,62,61,67,66,64,63,65,65,63,63,63,63,63,62,62,62,62,63.8181818181818,63,61.5,65,64,62.4285714285714,63.1666666666667,62.9375,63.2395833333333,0.651515151515156,-1.4375,0.760416666666664,1.8695652173913,1.04347826086957,1.17391304347826,1.30434782608696,0.695652173913043,-0.260869565217391,1.45652173913043,1.23913043478261,0.217391304347826,1.32699275362319,0.129528985507246,0.0878623188405796,"2017"
"84","Cordoba","SP2",71,70,68,73,72,70,70,74,70,69,68,69,69,68,68,68,68,67,70.4545454545455,71,69,71.25,70.25,68.1428571428571,70.8925619834711,70.5909090909091,70.5681818181818,-0.438016528925615,-1.59090909090909,-0.318181818181813,1.14285714285714,0.857142857142857,1,1.47619047619048,0.142857142857143,-0.619047619047619,1,1.23809523809524,-0.238095238095238,1.12662337662338,-0.126623376623377,-0.111471861471861,"2017"
"85","Coventry","E2",61,68,67,65,65,65,64,65,65,64,63,64,63,63,63,63,63,61,64.7272727272727,61,67.5,64.75,64.25,62.8571428571429,65.8068181818182,65.8333333333333,65.8125,-1.07954545454545,1.66666666666667,-1.5625,0.956521739130435,0.652173913043478,1.04347826086957,1.91304347826087,-0.0869565217391304,-1.26086956521739,0.804347826086957,1.47826086956522,-0.673913043478261,1.28351449275362,-0.479166666666667,-0.194746376811594,"2017"
"86","Crawley Town","E3",61,66,64,69,65,65,61,65,63,62,61,61,61,61,61,60,60,59,63.8181818181818,61,65,65,62.75,60.4285714285714,63.1666666666667,62.9375,63.2395833333333,0.651515151515156,2.0625,-0.489583333333336,1.26086956521739,1.04347826086957,1.30434782608696,1.78260869565217,-0.0434782608695652,-0.739130434782609,1.15217391304348,1.54347826086957,-0.391304347826087,1.32699275362319,-0.17481884057971,-0.216485507246377,"2017"
"87","Crewe","E3",62,66,65,63,62,60,58,64,64,62,61,60,57,55,53,53,52,51,62.4545454545455,62,65.5,60.75,62.75,54.4285714285714,63.1666666666667,62.9375,63.2395833333333,-0.712121212121211,2.5625,-0.489583333333336,1.52173913043478,1,1.1304347826087,1.78260869565217,0.391304347826087,-0.782608695652174,1.26086956521739,1.45652173913043,-0.195652173913043,1.32699275362319,-0.0661231884057971,-0.129528985507246,"2017"
"88","Crotone","I1",68,71,70,73,72,71,70,73,72,71,71,70,70,70,69,68,68,66,71.0909090909091,68,70.5,71.5,71.75,68.7142857142857,77.6590909090909,78.5,77.1125,-6.56818181818181,-8,-5.3625,1.10526315789474,0.684210526315789,1.31578947368421,1.73684210526316,-0.210526315789474,-1.05263157894737,0.894736842105263,1.52631578947368,-0.631578947368421,1.47763157894737,-0.582894736842105,-0.0486842105263159,"2017"
"89","Crystal Palace","E0",84,81,81,80,80,78,77,81,79,76,76,76,75,75,75,75,75,74,79.3636363636364,84,81,78.75,78,75,79.8136363636364,80.35,78.9,-0.450000000000003,0.650000000000006,-0.900000000000006,1.26315789473684,1.36842105263158,1.31578947368421,2,-0.0526315789473686,-0.631578947368421,1.31578947368421,1.65789473684211,-0.342105263157895,1.4,-0.0842105263157893,-0.257894736842105,"2017"
"90","Darmstadt","D1",72,72,71,76,74,74,72,76,74,72,71,72,71,70,70,70,69,69,73.0909090909091,72,71.5,74,73.25,70.1428571428571,78.2121212121212,78.0277777777778,77.7777777777778,-5.12121212121212,-6.52777777777777,-4.52777777777777,1.05882352941176,0.588235294117647,1.47058823529412,2.23529411764706,-0.411764705882353,-1.64705882352941,0.823529411764706,1.85294117647059,-1.02941176470588,1.43300653594771,-0.609477124183007,-0.419934640522876,"2017"
"91","Den Haag","N1",69,70,68,72,68,68,67,70,68,68,68,68,67,67,67,67,66,66,68.7272727272727,69,69,68.75,68.5,66.8571428571429,71.2020202020202,71.6666666666667,70.9722222222222,-2.47474747474747,-2.66666666666667,-2.47222222222223,1.29411764705882,0.882352941176471,1.23529411764706,2.23529411764706,0.0588235294117647,-1.35294117647059,1.08823529411765,1.73529411764706,-0.647058823529412,1.44444444444444,-0.356209150326797,-0.290849673202614,"2017"
"92","Derby","E1",73,74,72,75,72,72,71,74,73,72,71,71,71,70,70,70,70,69,72.6363636363636,73,73,72.5,72.5,70.1428571428571,71.5871212121212,71.3541666666667,71.6145833333333,1.04924242424242,1.64583333333333,0.885416666666671,1.43478260869565,0.91304347826087,0.869565217391304,1.30434782608696,0.565217391304348,-0.391304347826087,1.17391304347826,1.08695652173913,0.0869565217391304,1.30525362318841,-0.131340579710145,0.218297101449275,"2017"
"93","Dijon","F1",76,74,71,74,73,73,73,72,71,71,70,72,71,70,70,70,70,69,72.5454545454545,76,72.5,73.25,71,70.2857142857143,76.1909090909091,76.575,75.4125,-3.64545454545454,-4.075,-4.41249999999999,1.42105263157895,1,1.10526315789474,1.94736842105263,0.31578947368421,-0.947368421052632,1.21052631578947,1.52631578947368,-0.315789473684211,1.30789473684211,-0.0973684210526315,-0.218421052631579,"2017"
"94","Doncaster","E3",61,66,64,68,67,65,65,67,67,66,65,65,64,64,62,61,61,60,65.5454545454545,61,65,66.25,66.25,62.4285714285714,63.1666666666667,62.9375,63.2395833333333,2.37878787878788,2.0625,3.01041666666666,1.73913043478261,1.95652173913043,0.956521739130435,1.43478260869565,0.782608695652174,0.521739130434783,1.84782608695652,1.19565217391304,0.652173913043478,1.32699275362319,0.520833333333333,0.131340579710145,"2017"
"95","Dortmund","D1",83,87,81,88,82,82,82,85,83,81,81,81,81,80,80,79,78,78,83.1818181818182,83,84,83.5,82.5,79.5714285714286,78.2121212121212,78.0277777777778,77.7777777777778,4.96969696969697,5.97222222222223,4.72222222222223,2.41176470588235,1.82352941176471,0.705882352941177,1.64705882352941,1.70588235294118,0.176470588235294,2.11764705882353,1.17647058823529,0.941176470588235,1.43300653594771,0.684640522875817,0.256535947712418,"2017"
"96","Dresden","D2",69,69,69,70,69,67,67,69,68,68,68,69,68,67,67,66,66,65,68.4545454545455,69,69,68.25,68.25,66.8571428571429,70.3131313131313,70.2222222222222,70.125,-1.85858585858585,-1.22222222222223,-1.875,1.58823529411765,1.52941176470588,1.23529411764706,1.47058823529412,0.352941176470588,0.0588235294117645,1.55882352941176,1.35294117647059,0.205882352941176,1.24346405228758,0.315359477124183,-0.109477124183007,"2017"
"97","Dundee","SC0",65,66,63,68,68,64,64,68,66,64,63,61,61,60,60,60,58,58,65.3636363636364,65,64.5,66,65.25,59.7142857142857,67.2651515151515,66.9583333333333,66.9166666666667,-1.90151515151516,-2.45833333333333,-1.66666666666667,1,1,1.57894736842105,1.68421052631579,-0.578947368421053,-0.684210526315789,1,1.63157894736842,-0.631578947368421,1.3781798245614,-0.378179824561403,-0.253399122807018,"2017"
"98","Eibar","SP1",75,78,77,79,78,78,78,79,77,76,76,77,76,76,75,75,74,74,77.3636363636364,75,77.5,78.25,77,75.2857142857143,79.2909090909091,80.05,78.6125,-1.92727272727274,-2.55,-1.6125,1.52631578947368,1.42105263157895,1.10526315789474,1.57894736842105,0.421052631578947,-0.157894736842105,1.47368421052632,1.34210526315789,0.131578947368421,1.47105263157895,0.00263157894736854,0.128947368421053,"2017"
"99","Ein Frankfurt","D1",81,78,74,78,77,76,76,78,77,77,76,75,74,73,72,72,71,71,77.0909090909091,81,76,76.75,77,72.5714285714286,78.2121212121212,78.0277777777778,77.7777777777778,-1.12121212121212,-2.02777777777777,-0.777777777777771,1.41176470588235,0.705882352941177,1.05882352941176,1.47058823529412,0.352941176470588,-0.764705882352941,1.05882352941176,1.26470588235294,-0.205882352941176,1.43300653594771,-0.374183006535948,0.168300653594771,"2017"
"100","Elche","SP2",70,70,70,72,72,72,71,72,69,69,69,70,69,69,68,68,68,67,70.5454545454545,70,70,71.75,69.75,68.4285714285714,70.8925619834711,70.5909090909091,70.5681818181818,-0.347107438016522,-0.590909090909093,-0.818181818181813,1.28571428571429,1.04761904761905,1.57142857142857,1.42857142857143,-0.285714285714286,-0.380952380952381,1.16666666666667,1.5,-0.333333333333333,1.12662337662338,0.0400432900432901,-0.373376623376623,"2017"
"101","Empoli","I1",76,75,74,78,74,72,71,75,73,73,72,73,71,71,71,71,71,71,73.9090909090909,76,74.5,73.75,73.25,71.2857142857143,77.6590909090909,78.5,77.1125,-3.75,-4,-3.8625,0.842105263157895,0.684210526315789,1.52631578947368,1.68421052631579,-0.68421052631579,-1,0.763157894736842,1.60526315789474,-0.842105263157895,1.47763157894737,-0.714473684210526,-0.127631578947368,"2017"
"102","Erzgebirge Aue","D2",70,68,68,69,68,67,67,68,66,66,65,67,67,66,66,65,65,65,67.4545454545455,70,68,67.75,66.25,65.8571428571429,70.3131313131313,70.2222222222222,70.125,-2.85858585858585,-2.22222222222223,-3.875,1.23529411764706,0.941176470588235,1.41176470588235,1.64705882352941,-0.176470588235294,-0.705882352941176,1.08823529411765,1.52941176470588,-0.441176470588235,1.24346405228758,-0.155228758169935,-0.285947712418301,"2017"
