"","Club","Div","GK","F1","F2","M1","M2","M3","M4","D1","D2","D3","D4","B1","B2","B3","B4","B5","B6","B7","Overall","Goalkeeper","Attacking","Midfield","Defense","Bench","LGmeanOvr","LGmeanAtt","LGmeanDef","OvrvsMean","AttvsMean","DefvsMean","homeGF","awayGF","homeGA","awayGA","homeDiff","awayDiff","GF","GA","Diff","LGmeanGoals","GFvsMean","GAvsMean","year"
"145","Hoffenheim","D1",80,78,78,79,77,77,77,81,78,78,77,77,76,76,76,76,74,74,78.1818181818182,80,78,77.5,78.5,75.5714285714286,78.2121212121212,78.0277777777778,77.7777777777778,-0.0303030303030312,-0.0277777777777715,0.722222222222229,2.05882352941176,1.70588235294118,0.823529411764706,1.35294117647059,1.23529411764706,0.352941176470588,1.88235294117647,1.08823529411765,0.794117647058823,1.43300653594771,0.449346405228758,0.344771241830065,"2017"
"146","Huddersfield","E1",69,71,68,76,72,71,70,73,72,72,69,70,69,69,68,68,68,68,71.1818181818182,69,69.5,72.25,71.5,68.5714285714286,71.5871212121212,71.3541666666667,71.6145833333333,-0.405303030303031,-1.85416666666667,-0.114583333333329,1.47826086956522,0.956521739130435,1.1304347826087,1.39130434782609,0.347826086956522,-0.434782608695652,1.21739130434783,1.26086956521739,-0.043478260869565,1.30525362318841,-0.0878623188405796,0.0443840579710146,"2017"
"147","Huesca","SP2",70,70,70,74,72,71,70,70,69,69,69,70,70,69,69,68,68,68,70.3636363636364,70,70,71.75,69.25,68.8571428571429,70.8925619834711,70.5909090909091,70.5681818181818,-0.528925619834709,-0.590909090909093,-1.31818181818181,1.61904761904762,0.904761904761905,0.952380952380952,1.0952380952381,0.666666666666667,-0.190476190476191,1.26190476190476,1.02380952380952,0.238095238095238,1.12662337662338,0.135281385281385,0.102813852813853,"2017"
"148","Hull","E0",75,78,77,79,76,76,75,77,77,75,75,75,75,75,75,75,74,74,76.3636363636364,75,77.5,76.5,76,74.7142857142857,79.8136363636364,80.35,78.9,-3.45,-2.84999999999999,-2.90000000000001,1.47368421052632,0.473684210526316,1.84210526315789,2.36842105263158,-0.368421052631579,-1.89473684210526,0.973684210526316,2.10526315789474,-1.13157894736842,1.4,-0.426315789473684,-0.705263157894737,"2017"
"149","Ingolstadt","D1",73,74,73,76,76,73,72,76,73,73,72,73,72,71,71,70,70,69,73.7272727272727,73,73.5,74.25,73.5,70.8571428571429,78.2121212121212,78.0277777777778,77.7777777777778,-4.48484848484848,-4.52777777777777,-4.27777777777777,1.23529411764706,0.882352941176471,1.76470588235294,1.58823529411765,-0.529411764705882,-0.705882352941176,1.05882352941176,1.67647058823529,-0.617647058823529,1.43300653594771,-0.374183006535948,-0.243464052287582,"2017"
"150","Inter","I1",87,84,81,84,84,83,82,86,80,80,77,81,80,78,77,76,76,76,82.5454545454545,87,82.5,83.25,80.75,77.7142857142857,77.6590909090909,78.5,77.1125,4.88636363636364,4,3.6375,2.31578947368421,1.47368421052632,1.15789473684211,1.42105263157895,1.15789473684211,0.0526315789473684,1.89473684210526,1.28947368421053,0.605263157894737,1.47763157894737,0.417105263157895,0.188157894736842,"2017"
"151","Inverness C","SC0",64,67,62,68,68,67,67,69,67,66,66,65,65,63,62,62,62,60,66.4545454545455,64,64.5,67.5,67,62.7142857142857,67.2651515151515,66.9583333333333,66.9166666666667,-0.810606060606062,-2.45833333333333,0.0833333333333286,1.42105263157895,0.894736842105263,1.73684210526316,2,-0.315789473684211,-1.10526315789474,1.15789473684211,1.86842105263158,-0.710526315789474,1.3781798245614,-0.220285087719298,-0.490241228070176,"2017"
"152","Ipswich","E1",72,71,70,73,73,72,69,73,72,72,70,69,69,69,68,68,68,68,71.5454545454545,72,70.5,71.75,71.75,68.4285714285714,71.5871212121212,71.3541666666667,71.6145833333333,-0.0416666666666714,-0.854166666666671,0.135416666666671,1.30434782608696,0.782608695652174,1.04347826086957,1.47826086956522,0.260869565217391,-0.695652173913043,1.04347826086957,1.26086956521739,-0.217391304347826,1.30525362318841,-0.261775362318841,0.0443840579710146,"2017"
"153","Juventus","I1",88,89,86,86,85,84,83,88,87,86,84,84,84,83,83,80,80,80,86,88,87.5,84.5,86.25,82,77.6590909090909,78.5,77.1125,8.34090909090909,9,9.1375,2.52631578947368,1.52631578947368,0.473684210526316,0.947368421052632,2.05263157894737,0.578947368421053,2.02631578947368,0.710526315789474,1.31578947368421,1.47763157894737,0.548684210526316,0.767105263157895,"2017"
"154","Kaiserslautern","D2",69,69,68,73,72,71,70,73,69,69,69,69,68,68,68,67,65,65,70.1818181818182,69,68.5,71.5,70,67.1428571428571,70.3131313131313,70.2222222222222,70.125,-0.131313131313121,-1.72222222222223,-0.125,1,0.705882352941177,0.529411764705882,1.41176470588235,0.470588235294118,-0.705882352941177,0.852941176470588,0.970588235294118,-0.117647058823529,1.24346405228758,-0.390522875816993,0.272875816993464,"2017"
"155","Karabukspor","T1",71,74,69,74,72,72,72,72,71,70,69,70,68,68,68,68,66,66,71.4545454545455,71,71.5,72.5,70.5,67.7142857142857,73.6414141414141,73.75,73.0138888888889,-2.18686868686869,-2.25,-2.51388888888889,1.41176470588235,0.823529411764706,0.705882352941177,2.11764705882353,0.705882352941177,-1.29411764705882,1.11764705882353,1.41176470588235,-0.294117647058824,1.35294117647059,-0.235294117647059,-0.0588235294117647,"2017"
"156","Karlsruhe","D2",69,71,68,72,72,70,69,70,69,67,67,69,67,67,67,66,66,66,69.4545454545455,69,69.5,70.75,68.25,66.8571428571429,70.3131313131313,70.2222222222222,70.125,-0.858585858585855,-0.722222222222229,-1.875,1.05882352941176,0.529411764705882,1.70588235294118,1.58823529411765,-0.647058823529412,-1.05882352941176,0.794117647058824,1.64705882352941,-0.852941176470588,1.24346405228758,-0.449346405228758,-0.40359477124183,"2017"
"157","Kasimpasa","T1",67,70,68,74,74,72,72,75,74,70,70,70,69,69,68,68,68,67,71.4545454545455,67,69,73,72.25,68.4285714285714,73.6414141414141,73.75,73.0138888888889,-2.18686868686869,-4.75,-0.763888888888886,1.82352941176471,0.882352941176471,1.41176470588235,1.47058823529412,0.411764705882353,-0.588235294117647,1.35294117647059,1.44117647058824,-0.0882352941176472,1.35294117647059,0,-0.0882352941176472,"2017"
"158","Kayserispor","T1",71,74,73,75,74,73,72,75,72,72,70,71,70,69,69,69,69,68,72.8181818181818,71,73.5,73.5,72.25,69.2857142857143,73.6414141414141,73.75,73.0138888888889,-0.823232323232332,-0.25,-0.763888888888886,1.35294117647059,1.41176470588235,1.35294117647059,2.05882352941176,0,-0.647058823529411,1.38235294117647,1.70588235294118,-0.323529411764706,1.35294117647059,0.0294117647058822,-0.352941176470588,"2017"
"159","Kilmarnock","SC0",69,68,66,67,66,64,63,66,65,65,62,65,61,61,60,60,59,59,65.5454545454545,69,67,65,64.5,60.7142857142857,67.2651515151515,66.9583333333333,66.9166666666667,-1.71969696969697,0.0416666666666714,-2.41666666666667,0.947368421052632,0.947368421052632,1.21052631578947,1.73684210526316,-0.263157894736842,-0.789473684210526,0.947368421052632,1.47368421052632,-0.526315789473684,1.3781798245614,-0.430811403508772,-0.0955043859649125,"2017"
"160","Konyaspor","T1",74,74,70,75,74,73,70,76,71,71,70,70,68,68,68,68,68,66,72.5454545454545,74,72,73,72,68,73.6414141414141,73.75,73.0138888888889,-1.0959595959596,-1.75,-1.01388888888889,1.17647058823529,1.17647058823529,1.23529411764706,1.41176470588235,-0.0588235294117647,-0.235294117647059,1.17647058823529,1.32352941176471,-0.147058823529412,1.35294117647059,-0.176470588235294,0.0294117647058822,"2017"
"161","Kortrijk","B1",70,73,71,71,71,70,70,70,69,68,67,70,69,68,68,68,68,67,70,70,72,70.5,68.5,68.2857142857143,71.2329545454545,71.34375,70.5,-1.23295454545455,0.65625,-2,1.53333333333333,1,1.66666666666667,2,-0.133333333333333,-1,1.26666666666667,1.83333333333333,-0.566666666666667,1.37083333333333,-0.104166666666667,-0.4625,"2017"
"162","La Coruna","SP1",75,79,76,79,78,77,77,79,77,76,75,76,76,76,75,75,75,75,77.0909090909091,75,77.5,77.75,76.75,75.4285714285714,79.2909090909091,80.05,78.6125,-2.2,-2.55,-1.8625,1.42105263157895,0.842105263157895,1.21052631578947,2,0.210526315789474,-1.15789473684211,1.13157894736842,1.60526315789474,-0.473684210526316,1.47105263157895,-0.339473684210526,-0.134210526315789,"2017"
"163","Las Palmas","SP1",77,80,75,82,82,79,79,78,77,77,76,77,76,75,75,74,73,73,78.3636363636364,77,77.5,80.5,77,74.7142857142857,79.2909090909091,80.05,78.6125,-0.927272727272737,-2.55,-1.6125,1.73684210526316,1.05263157894737,1.31578947368421,2.57894736842105,0.421052631578947,-1.52631578947368,1.39473684210526,1.94736842105263,-0.552631578947368,1.47105263157895,-0.0763157894736841,-0.476315789473684,"2017"
"164","Latina","I2",67,71,63,72,69,68,64,69,66,66,66,64,63,63,62,62,62,61,67.3636363636364,67,67,68.25,66.75,62.4285714285714,68.9917355371901,70.0681818181818,68.5227272727273,-1.62809917355372,-3.06818181818181,-1.77272727272727,0.761904761904762,1.04761904761905,0.857142857142857,1.52380952380952,-0.0952380952380952,-0.476190476190476,0.904761904761905,1.19047619047619,-0.285714285714286,1.10497835497835,-0.20021645021645,-0.0854978354978355,"2017"
"165","Laval","F2",66,66,65,74,67,66,66,69,68,67,65,65,65,65,64,64,63,62,67.1818181818182,66,65.5,68.25,67.25,64,68.1545454545455,68.55,67.8875,-0.972727272727269,-3.05,-0.637500000000003,1.10526315789474,0.631578947368421,1.36842105263158,1.36842105263158,-0.263157894736842,-0.736842105263158,0.868421052631579,1.36842105263158,-0.5,1.24078947368421,-0.372368421052631,-0.127631578947369,"2017"
"166","Lazio","I1",80,82,81,82,81,79,78,82,80,79,77,80,77,77,77,75,73,69,80.0909090909091,80,81.5,80,79.5,75.4285714285714,77.6590909090909,78.5,77.1125,2.43181818181819,3,2.3875,2.10526315789474,1.78947368421053,1.21052631578947,1.47368421052632,0.894736842105263,0.315789473684211,1.94736842105263,1.34210526315789,0.605263157894737,1.47763157894737,0.469736842105263,0.135526315789474,"2017"
"167","Le Havre","F2",69,72,70,69,69,69,68,70,69,68,67,67,66,66,66,66,63,62,69.0909090909091,69,71,68.75,68.5,65.1428571428571,68.1545454545455,68.55,67.8875,0.936363636363637,2.45,0.612499999999997,1.21052631578947,0.842105263157895,0.842105263157895,0.789473684210526,0.368421052631579,0.0526315789473684,1.02631578947368,0.815789473684211,0.210526315789474,1.24078947368421,-0.214473684210526,0.425,"2017"
"168","Leeds","E1",74,74,74,76,75,73,71,76,73,73,71,70,70,70,70,69,69,69,73.6363636363636,74,74,73.75,73.25,69.5714285714286,71.5871212121212,71.3541666666667,71.6145833333333,2.04924242424242,2.64583333333333,1.63541666666667,1.39130434782609,1.26086956521739,0.695652173913043,1.34782608695652,0.695652173913043,-0.0869565217391304,1.32608695652174,1.02173913043478,0.304347826086957,1.30525362318841,0.0208333333333335,0.283514492753623,"2017"
"169","Leganes","SP1",76,76,73,77,77,77,77,76,76,75,75,76,75,75,74,74,73,73,75.9090909090909,76,74.5,77,75.5,74.2857142857143,79.2909090909091,80.05,78.6125,-3.38181818181819,-5.55,-3.1125,1.15789473684211,0.736842105263158,1.21052631578947,1.68421052631579,-0.0526315789473684,-0.947368421052632,0.947368421052632,1.44736842105263,-0.5,1.47105263157895,-0.523684210526316,0.023684210526316,"2017"
"170","Leicester","E0",83,82,81,84,80,77,77,78,77,77,75,80,77,76,75,74,74,74,79.1818181818182,83,81.5,79.5,76.75,75.7142857142857,79.8136363636364,80.35,78.9,-0.631818181818176,1.15000000000001,-2.15000000000001,1.63157894736842,0.894736842105263,1.31578947368421,2,0.31578947368421,-1.10526315789474,1.26315789473684,1.65789473684211,-0.394736842105263,1.4,-0.136842105263158,-0.257894736842105,"2017"
"171","Lens","F2",75,71,70,71,68,68,66,72,68,67,66,68,67,66,66,65,65,65,69.2727272727273,75,70.5,68.25,68.25,66,68.1545454545455,68.55,67.8875,1.11818181818181,1.95,0.362499999999997,1.47368421052632,1.63157894736842,1,1.10526315789474,0.473684210526316,0.526315789473684,1.55263157894737,1.05263157894737,0.5,1.24078947368421,0.311842105263158,0.188157894736842,"2017"
"172","Levante","SP2",73,76,73,78,77,76,75,74,74,74,72,73,73,73,73,72,71,71,74.7272727272727,73,74.5,76.5,73.5,72.2857142857143,70.8925619834711,70.5909090909091,70.5681818181818,3.83471074380166,3.90909090909091,2.93181818181819,1.61904761904762,1.0952380952381,0.666666666666667,0.857142857142857,0.952380952380952,0.238095238095238,1.35714285714286,0.761904761904762,0.595238095238095,1.12662337662338,0.230519480519481,0.364718614718615,"2017"
"173","Leverkusen","D1",86,82,80,83,82,82,80,83,82,79,78,78,78,77,77,76,75,75,81.5454545454545,86,81,81.75,80.5,76.5714285714286,78.2121212121212,78.0277777777778,77.7777777777778,3.33333333333333,2.97222222222223,2.72222222222223,1.58823529411765,1.52941176470588,1.64705882352941,1.58823529411765,-0.0588235294117647,-0.0588235294117647,1.55882352941176,1.61764705882353,-0.0588235294117649,1.43300653594771,0.125816993464052,-0.184640522875817,"2017"
"174","Leyton Orient","E3",66,62,59,66,64,63,62,69,68,65,64,62,62,61,60,57,57,53,64.3636363636364,66,60.5,63.75,66.5,58.8571428571429,63.1666666666667,62.9375,63.2395833333333,1.1969696969697,-2.4375,3.26041666666666,0.826086956521739,1.21739130434783,1.73913043478261,2.04347826086957,-0.91304347826087,-0.826086956521739,1.02173913043478,1.89130434782609,-0.869565217391304,1.32699275362319,-0.305253623188406,-0.564311594202898,"2017"
"175","Lille","F1",82,77,77,76,76,76,75,77,77,75,74,75,74,72,72,71,70,67,76.5454545454545,82,77,75.75,75.75,71.5714285714286,76.1909090909091,76.575,75.4125,0.354545454545459,0.424999999999997,0.337500000000006,1.26315789473684,0.842105263157895,1.26315789473684,1.21052631578947,0,-0.368421052631579,1.05263157894737,1.23684210526316,-0.18421052631579,1.30789473684211,-0.255263157894737,0.0710526315789473,"2017"
"176","Liverpool","E0",82,86,83,83,83,82,81,83,82,82,80,82,80,79,79,79,78,77,82.4545454545455,82,84.5,82.25,81.75,79.1428571428571,79.8136363636364,80.35,78.9,2.64090909090909,4.15000000000001,2.84999999999999,2.36842105263158,1.73684210526316,0.947368421052632,1.26315789473684,1.42105263157895,0.473684210526316,2.05263157894737,1.10526315789474,0.947368421052631,1.4,0.652631578947368,0.294736842105263,"2017"
"177","Lokeren","B1",70,70,68,72,71,69,68,70,69,68,67,69,68,68,67,66,66,66,69.2727272727273,70,69,70,68.5,67.1428571428571,71.2329545454545,71.34375,70.5,-1.96022727272728,-2.34375,-2,0.8,0.8,0.733333333333333,1.53333333333333,0.0666666666666668,-0.733333333333333,0.8,1.13333333333333,-0.333333333333333,1.37083333333333,-0.570833333333333,0.2375,"2017"
"178","Lorient","F1",79,77,74,74,74,74,74,74,73,73,72,74,74,73,73,73,71,70,74.3636363636364,79,75.5,74,73,72.5714285714286,76.1909090909091,76.575,75.4125,-1.82727272727273,-1.075,-2.41249999999999,1.31578947368421,1,1.52631578947368,2.15789473684211,-0.210526315789474,-1.15789473684211,1.15789473684211,1.84210526315789,-0.684210526315789,1.30789473684211,-0.15,-0.534210526315789,"2017"
"179","Lugo","SP2",69,73,69,72,71,71,70,72,71,69,68,69,68,68,67,67,67,67,70.4545454545455,69,71,71,70,67.5714285714286,70.8925619834711,70.5909090909091,70.5681818181818,-0.438016528925615,0.409090909090907,-0.568181818181813,1.28571428571429,1.04761904761905,1.04761904761905,1.42857142857143,0.238095238095238,-0.380952380952381,1.16666666666667,1.23809523809524,-0.0714285714285714,1.12662337662338,0.0400432900432901,-0.111471861471861,"2017"
"180","Luton","E3",55,66,62,65,63,62,62,68,64,62,62,62,62,61,61,59,59,58,62.8181818181818,55,64,63,64,60.2857142857143,63.1666666666667,62.9375,63.2395833333333,-0.348484848484844,1.0625,0.760416666666664,1.65217391304348,1.39130434782609,1.1304347826087,0.739130434782609,0.521739130434783,0.652173913043478,1.52173913043478,0.934782608695652,0.586956521739131,1.32699275362319,0.194746376811594,0.392210144927536,"2017"
"181","Lyon","F1",83,85,81,81,80,80,79,79,79,78,77,79,77,76,75,75,74,74,80.1818181818182,83,83,80,78.25,75.7142857142857,76.1909090909091,76.575,75.4125,3.9909090909091,6.425,2.83750000000001,2.42105263157895,1.78947368421053,1.36842105263158,1.15789473684211,1.05263157894737,0.631578947368421,2.10526315789474,1.26315789473684,0.842105263157895,1.30789473684211,0.797368421052632,0.0447368421052632,"2017"
"182","M'gladbach","D1",83,82,80,81,80,80,79,80,79,79,78,79,78,78,77,76,76,76,80.0909090909091,83,81,80,79,77.1428571428571,78.2121212121212,78.0277777777778,77.7777777777778,1.87878787878788,2.97222222222223,1.22222222222223,1.52941176470588,1.11764705882353,1.05882352941176,1.82352941176471,0.470588235294118,-0.705882352941176,1.32352941176471,1.44117647058824,-0.117647058823529,1.43300653594771,-0.109477124183007,-0.00816993464052285,"2017"
"183","Mainz","D1",76,77,75,81,77,76,76,77,75,75,75,76,76,75,75,74,74,73,76.3636363636364,76,76,77.5,75.5,74.7142857142857,78.2121212121212,78.0277777777778,77.7777777777778,-1.84848484848486,-2.02777777777777,-2.27777777777777,1.76470588235294,0.823529411764706,1.52941176470588,1.70588235294118,0.235294117647059,-0.882352941176471,1.29411764705882,1.61764705882353,-0.323529411764706,1.43300653594771,-0.138888888888889,-0.184640522875817,"2017"
"184","Malaga","SP1",81,77,77,81,79,78,77,78,78,77,77,78,77,76,76,75,75,75,78.1818181818182,81,77,78.75,77.5,76,79.2909090909091,80.05,78.6125,-1.10909090909091,-3.05,-1.1125,1.68421052631579,0.894736842105263,1.31578947368421,1.57894736842105,0.368421052631579,-0.684210526315789,1.28947368421053,1.44736842105263,-0.157894736842105,1.47105263157895,-0.181578947368421,0.0236842105263158,"2017"
"185","Mallorca","SP2",67,70,68,72,71,70,70,71,70,70,68,70,68,68,67,67,67,67,69.7272727272727,67,69,70.75,69.75,67.7142857142857,70.8925619834711,70.5909090909091,70.5681818181818,-1.16528925619834,-1.59090909090909,-0.818181818181813,1.04761904761905,0.952380952380952,0.904761904761905,1.47619047619048,0.142857142857143,-0.523809523809524,1,1.19047619047619,-0.19047619047619,1.12662337662338,-0.126623376623377,-0.0638528138528138,"2017"
"186","Man City","E0",83,89,83,88,87,85,84,85,84,81,81,82,82,80,80,80,79,79,84.5454545454545,83,86,86,82.75,80.2857142857143,79.8136363636364,80.35,78.9,4.73181818181818,5.65000000000001,3.84999999999999,1.94736842105263,2.26315789473684,0.894736842105263,1.15789473684211,1.05263157894737,1.10526315789474,2.10526315789474,1.02631578947368,1.07894736842105,1.4,0.705263157894737,0.373684210526316,"2017"
"187","Man United","E0",90,90,82,88,86,85,83,83,83,83,82,83,82,81,80,80,80,79,85,90,86,85.5,82.75,80.7142857142857,79.8136363636364,80.35,78.9,5.18636363636364,5.65000000000001,3.84999999999999,1.36842105263158,1.47368421052632,0.631578947368421,0.894736842105263,0.736842105263158,0.578947368421053,1.42105263157895,0.763157894736842,0.657894736842105,1.4,0.0210526315789474,0.636842105263158,"2017"
"188","Mansfield","E3",63,64,64,65,64,63,63,64,64,64,64,64,64,63,62,62,61,61,63.8181818181818,63,64,63.75,64,62.4285714285714,63.1666666666667,62.9375,63.2395833333333,0.651515151515156,1.0625,0.760416666666664,1.34782608695652,1,0.91304347826087,1.26086956521739,0.434782608695652,-0.260869565217391,1.17391304347826,1.08695652173913,0.0869565217391304,1.32699275362319,-0.153079710144928,0.240036231884058,"2017"
"189","Maritimo","P1",76,71,70,75,74,73,71,75,75,74,72,70,70,69,69,69,68,68,73.2727272727273,76,70.5,73.25,74,69,73.2323232323232,73.0833333333333,72.9027777777778,0.0404040404040273,-2.58333333333333,1.09722222222223,1.47058823529412,0.529411764705882,0.705882352941177,1.17647058823529,0.764705882352941,-0.647058823529412,1,0.941176470588235,0.0588235294117647,1.18954248366013,-0.189542483660131,0.248366013071895,"2017"
"190","Marseille","F1",74,81,79,85,81,79,76,82,76,75,74,75,74,74,74,74,73,73,78.3636363636364,74,80,80.25,76.75,73.8571428571429,76.1909090909091,76.575,75.4125,2.17272727272727,3.425,1.33750000000001,1.73684210526316,1.26315789473684,0.684210526315789,1.47368421052632,1.05263157894737,-0.210526315789474,1.5,1.07894736842105,0.421052631578947,1.30789473684211,0.192105263157895,0.228947368421053,"2017"
"191","Mechelen","B1",70,71,67,70,70,70,69,72,71,70,69,69,68,68,68,68,68,67,69.9090909090909,70,69,69.75,70.5,68,71.2329545454545,71.34375,70.5,-1.32386363636364,-2.34375,0,1.6,1.13333333333333,0.866666666666667,1.53333333333333,0.733333333333333,-0.4,1.36666666666667,1.2,0.166666666666667,1.37083333333333,-0.00416666666666665,0.170833333333333,"2017"
"192","Metz","F1",72,76,75,74,73,70,70,74,74,73,73,73,71,70,69,69,69,68,73.0909090909091,72,75.5,71.75,73.5,69.8571428571429,76.1909090909091,76.575,75.4125,-3.09999999999999,-1.075,-1.91249999999999,1.42105263157895,0.631578947368421,1.78947368421053,2,-0.368421052631579,-1.36842105263158,1.02631578947368,1.89473684210526,-0.868421052631579,1.30789473684211,-0.281578947368421,-0.586842105263158,"2017"
"193","Middlesbrough","E0",82,81,75,79,76,75,74,78,75,75,74,74,74,74,73,73,73,73,76.7272727272727,82,78,76,75.5,73.4285714285714,79.8136363636364,80.35,78.9,-3.08636363636363,-2.34999999999999,-3.40000000000001,0.894736842105263,0.526315789473684,1.21052631578947,1.57894736842105,-0.315789473684211,-1.05263157894737,0.710526315789474,1.39473684210526,-0.68421052631579,1.4,-0.689473684210526,0.00526315789473664,"2017"
"194","Milan","I1",79,83,81,83,81,79,78,80,79,78,78,78,78,78,77,77,76,76,79.9090909090909,79,82,80.25,78.75,77.1428571428571,77.6590909090909,78.5,77.1125,2.25,3.5,1.6375,1.68421052631579,1.31578947368421,1.05263157894737,1.31578947368421,0.631578947368421,0,1.5,1.18421052631579,0.315789473684211,1.47763157894737,0.0223684210526316,0.293421052631579,"2017"
"195","Millwall","E2",65,67,67,68,66,66,66,69,68,67,64,64,64,63,63,63,62,62,66.6363636363636,65,67,66.5,67,63,65.8068181818182,65.8333333333333,65.8125,0.829545454545453,1.16666666666667,1.1875,1.47826086956522,1.39130434782609,0.739130434782609,1.73913043478261,0.739130434782609,-0.347826086956522,1.43478260869565,1.23913043478261,0.195652173913043,1.28351449275362,0.151268115942029,0.0443840579710146,"2017"
"196","Milton Keynes Dons","E2",68,69,68,66,66,66,65,66,66,65,64,65,65,65,64,64,64,63,66.2727272727273,68,68.5,65.75,65.25,64.2857142857143,65.8068181818182,65.8333333333333,65.8125,0.465909090909079,2.66666666666667,-0.5625,1.26086956521739,1.34782608695652,1.60869565217391,0.91304347826087,-0.347826086956522,0.434782608695652,1.30434782608696,1.26086956521739,0.0434782608695652,1.28351449275362,0.0208333333333333,0.0226449275362319,"2017"
"197","Mirandes","SP2",65,71,69,69,68,68,68,70,67,67,67,68,68,68,67,67,67,67,68.0909090909091,65,70,68.25,67.75,67.4285714285714,70.8925619834711,70.5909090909091,70.5681818181818,-2.80165289256198,-0.590909090909093,-2.81818181818181,1.14285714285714,0.761904761904762,1.52380952380952,1.61904761904762,-0.380952380952381,-0.857142857142857,0.952380952380952,1.57142857142857,-0.619047619047619,1.12662337662338,-0.174242424242424,-0.444805194805195,"2017"
"198","Monaco","F1",84,82,80,83,82,80,80,84,80,78,77,79,77,77,77,76,74,73,80.9090909090909,84,81,81.25,79.75,76.1428571428571,76.1909090909091,76.575,75.4125,4.71818181818182,4.425,4.33750000000001,3.31578947368421,2.31578947368421,0.684210526315789,0.947368421052632,2.63157894736842,1.36842105263158,2.81578947368421,0.815789473684211,2,1.30789473684211,1.50789473684211,0.492105263157895,"2017"
"199","Montpellier","F1",75,74,74,80,76,75,73,79,75,75,73,73,73,72,70,69,69,69,75.3636363636364,75,74,76,75.5,70.7142857142857,76.1909090909091,76.575,75.4125,-0.827272727272728,-2.575,0.0875000000000057,1.47368421052632,1.05263157894737,1.15789473684211,2.31578947368421,0.31578947368421,-1.26315789473684,1.26315789473684,1.73684210526316,-0.473684210526316,1.30789473684211,-0.0447368421052632,-0.428947368421053,"2017"
"200","Morecambe","E3",65,59,58,66,60,59,59,62,61,60,58,59,58,58,56,56,56,56,60.6363636363636,65,58.5,61,60.25,57,63.1666666666667,62.9375,63.2395833333333,-2.53030303030303,-4.4375,-2.98958333333334,1.04347826086957,1.26086956521739,1.65217391304348,1.52173913043478,-0.608695652173913,-0.260869565217391,1.15217391304348,1.58695652173913,-0.434782608695652,1.32699275362319,-0.17481884057971,-0.259963768115942,"2017"
"201","Moreirense","P1",68,70,70,72,72,71,69,72,72,70,69,70,69,69,68,68,68,68,70.4545454545455,68,70,71,70.75,68.5714285714286,73.2323232323232,73.0833333333333,72.9027777777778,-2.77777777777779,-3.08333333333333,-2.15277777777777,1.05882352941176,0.882352941176471,1.17647058823529,1.64705882352941,-0.117647058823529,-0.764705882352941,0.970588235294118,1.41176470588235,-0.441176470588235,1.18954248366013,-0.218954248366013,-0.222222222222222,"2017"
"202","Motherwell","SC0",63,67,67,68,66,66,65,66,65,60,58,65,63,61,60,60,58,58,64.6363636363636,63,67,66.25,62.25,60.7142857142857,67.2651515151515,66.9583333333333,66.9166666666667,-2.62878787878788,0.0416666666666714,-4.66666666666667,1.42105263157895,1,1.94736842105263,1.68421052631579,-0.526315789473684,-0.684210526315789,1.21052631578947,1.81578947368421,-0.605263157894737,1.3781798245614,-0.16765350877193,-0.437609649122807,"2017"
"203","Mouscron","B1",69,67,66,69,68,67,66,69,67,66,65,66,65,65,65,65,64,63,67.1818181818182,69,66.5,67.5,66.75,64.7142857142857,71.2329545454545,71.34375,70.5,-4.05113636363636,-4.84375,-3.75,1,0.933333333333333,1.73333333333333,1.8,-0.733333333333333,-0.866666666666667,0.966666666666667,1.76666666666667,-0.8,1.37083333333333,-0.404166666666667,-0.395833333333333,"2017"
"204","Munich 1860","D2",69,73,72,76,72,71,70,75,72,69,69,72,71,69,68,68,68,67,71.6363636363636,69,72.5,72.25,71.25,69,70.3131313131313,70.2222222222222,70.125,1.32323232323233,2.27777777777777,1.125,1.41176470588235,0.764705882352941,1.23529411764706,1.52941176470588,0.176470588235294,-0.764705882352941,1.08823529411765,1.38235294117647,-0.294117647058823,1.24346405228758,-0.155228758169935,-0.138888888888889,"2017"
"205","Nacional","P1",71,74,69,71,70,70,68,76,71,70,70,70,69,68,66,66,66,66,70.9090909090909,71,71.5,69.75,71.75,67.2857142857143,73.2323232323232,73.0833333333333,72.9027777777778,-2.32323232323233,-1.58333333333333,-1.15277777777777,0.647058823529412,0.647058823529412,1.35294117647059,2.05882352941176,-0.705882352941177,-1.41176470588235,0.647058823529412,1.70588235294118,-1.05882352941176,1.18954248366013,-0.542483660130719,-0.516339869281046,"2017"
"206","Nancy","F1",72,72,71,72,72,72,72,72,71,70,69,71,70,70,70,69,68,68,71.3636363636364,72,71.5,72,70.5,69.4285714285714,76.1909090909091,76.575,75.4125,-4.82727272727273,-5.075,-4.91249999999999,1.10526315789474,0.421052631578947,1.21052631578947,1.52631578947368,-0.105263157894737,-1.10526315789474,0.763157894736842,1.36842105263158,-0.605263157894737,1.30789473684211,-0.544736842105263,-0.0605263157894738,"2017"
"207","Nantes","F1",77,77,76,77,75,74,74,76,74,73,72,76,73,72,71,71,71,71,75,77,76.5,75,73.75,72.1428571428571,76.1909090909091,76.575,75.4125,-1.19090909090909,-0.0750000000000028,-1.66249999999999,1,1.10526315789474,1.26315789473684,1.57894736842105,-0.263157894736842,-0.473684210526316,1.05263157894737,1.42105263157895,-0.368421052631579,1.30789473684211,-0.255263157894737,-0.113157894736842,"2017"
