"","GameNum","X","Season","Date","Div","Country","League","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HomeOverall","HomeGoalkeeper","HomeAttacking","HomeMidfield","HomeDefense","HomeBench","AwayOverall","AwayGoalkeeper","AwayAttacking","AwayMidfield","AwayDefense","AwayBench","GoalDiff","TotalGoals"
"5945",5945,7842,"2018/2019","2018-08-25 00:00:00","E3","England","League 2","Morecambe","Oldham",0,2,"A",13,6,5,3,61.0909090909091,63,61,63.5,58.25,59.1428571428571,64,63,65.5,65,62.5,61,-2,2
"4977",4977,6651,"2018/2019","2018-10-06 00:00:00","I1","Italy","Serie A","Udinese","Juventus",0,2,"A",5,13,4,7,74.9090909090909,74,77,75.75,73.25,74.2857142857143,87,85,91.5,85.5,86.75,83.1428571428571,-2,2
"10667",10667,13536,"2017/2018","2017-11-11 00:00:00","E3","England","League 2","Cheltenham","Luton",2,2,"D",8,10,4,3,61.9090909090909,61,62.5,61.75,62,59.8571428571429,65.6363636363636,67,67.5,64.75,65.25,62,0,4
"1089",1089,1923,"2018/2019","2019-04-06 00:00:00","I1","Italy","Serie A","Sampdoria","Roma",0,1,"A",10,9,2,5,76.7272727272727,74,80,77.25,75.25,74.4285714285714,82.3636363636364,80,83.5,82,82.75,78.5714285714286,-1,1
"9048",9048,11575,"2017/2018","2018-01-27 00:00:00","T1","Turkey","Futbol Ligi 1","Alanyaspor","Bursaspor",3,1,"H",10,5,5,3,72.2727272727273,74,72.5,74,70,67.5714285714286,73.1818181818182,75,73,73.5,72.5,70.2857142857143,2,4
"9342",9342,11911,"2017/2018","2018-01-13 00:00:00","E2","England","League 1","Bury","Charlton",0,1,"A",7,12,0,6,66.2727272727273,61,68,66.5,66.5,63.7142857142857,67.9090909090909,68,66,68.25,68.5,63.5714285714286,-1,1
"15686",15686,19566,"2016/2017","2017-01-28 00:00:00","D1","Germany","Bundesliga 1","RB Leipzig","Hoffenheim",2,1,"H",14,5,5,2,76,74,76,77.5,75,71.2857142857143,78.1818181818182,80,78,77.5,78.5,75.5714285714286,1,3
"7150",7150,9261,"2017/2018","2018-04-15 00:00:00","F1","France","Le Championnat","Troyes","Marseille",2,3,"A",12,21,7,9,71.6363636363636,74,74,71,70.5,67.7142857142857,80.3636363636364,82,80.5,80.75,79.5,74.7142857142857,-1,5
"10552",10552,13391,"2017/2018","2017-11-18 00:00:00","E0","England","Premier League","West Brom","Chelsea",0,4,"A",7,11,2,7,78.2727272727273,80,78,79.25,77,74.7142857142857,85.5454545454545,89,88,84.75,84.25,81.1428571428571,-4,4
"3287",3287,4630,"2018/2019","2018-12-23 00:00:00","B1","Belgium","Jupiler League","Waregem","Charleroi",3,1,"H",15,9,5,7,70.4545454545455,71,72,72,68,67.8571428571429,71.7272727272727,73,72.5,71.5,71.25,69.8571428571429,2,4
"12065",12065,15199,"2017/2018","2017-09-12 00:00:00","E1","England","Championship","Leeds","Birmingham",2,0,"H",17,14,5,5,73.2727272727273,75,72.5,73.5,73,69.2857142857143,72.3636363636364,74,70,73.75,71.75,70.8571428571429,2,2
"17029",17029,21195,"2016/2017","2016-11-20 00:00:00","SP1","Spain","La Liga Primera Division","Valencia","Granada",1,1,"D",14,9,7,5,79.9090909090909,82,82,78.25,80,77,75.2727272727273,79,75.5,75.25,74.25,72,0,2
"5412",5412,7172,"2018/2019","2018-09-22 00:00:00","D1","Germany","Bundesliga 1","Nurnberg","Hannover",2,0,"H",14,9,6,3,73.8181818181818,73,73.5,74.75,73.25,69.7142857142857,75.4545454545455,76,75.5,75.25,75.5,73,2,2
"7692",7692,9952,"2017/2018","2018-03-24 00:00:00","E2","England","League 1","Peterboro","Bristol Rvs",1,1,"D",20,9,5,1,65.2727272727273,64,65.5,66,64.75,62.1428571428571,65.3636363636364,64,65.5,65.75,65.25,62.1428571428571,0,2
"14718",14718,18407,"2016/2017","2017-03-04 00:00:00","I2","Italy","Serie B","Virtus Entella","Bari",2,0,"H",NA,NA,NA,NA,67.6363636363636,68,70.5,65.25,68.5,62,72.4545454545455,67,72.5,73.25,73,69,2,2
"12912",12912,16253,"2016/2017","2017-05-21 00:00:00","D2","Germany","Bundesliga 2","Dresden","Bielefeld",1,1,"D",NA,NA,NA,NA,68.4545454545455,69,69,68.25,68.25,66.8571428571429,69,69,70,68.75,68.75,66.5714285714286,0,2
"3949",3949,5416,"2018/2019","2018-11-27 00:00:00","E3","England","League 2","Forest Green","Colchester",0,1,"A",9,9,0,6,64.0909090909091,61,64.5,64.25,64.5,61.7142857142857,65,61,65.5,66,64.75,62.4285714285714,-1,1
"6900",6900,8952,"2017/2018","2018-04-27 00:00:00","SC0","Scotland","Premier League","Aberdeen","Hearts",2,0,"H",14,5,7,1,69.9090909090909,72,68.5,69.5,70.5,64.1428571428571,68.3636363636364,66,65.5,70,68.75,63.1428571428571,2,2
"6937",6937,8997,"2017/2018","2018-04-22 00:00:00","E0","England","Premier League","Arsenal","West Ham",4,1,"H",20,11,8,4,84.0909090909091,86,86.5,84,82.5,80.2857142857143,79.6363636363636,82,82,78.25,79.25,76.7142857142857,3,5
"13320",13320,16680,"2016/2017","2017-04-30 00:00:00","E2","England","League 1","Bolton","Peterboro",3,0,"H",14,4,6,1,68.5454545454545,65,67.5,69.5,69,66.2857142857143,65.1818181818182,64,63,65.75,66,63.1428571428571,3,3
"10338",10338,13127,"2017/2018","2017-11-25 00:00:00","E1","England","Championship","Norwich","Preston",1,1,"D",9,19,3,4,72.7272727272727,68,73,73.5,73,69.8571428571429,69.7272727272727,70,69.5,70.25,69.25,67.5714285714286,0,2
"13714",13714,17159,"2016/2017","2017-04-15 00:00:00","SP2","Spain","La Liga Segunda Division","Huesca","Cadiz",1,1,"D",NA,NA,NA,NA,70.3636363636364,70,70,71.75,69.25,68.8571428571429,71,70,71,71.25,71,68.4285714285714,0,2
"10386",10386,13175,"2017/2018","2017-11-25 00:00:00","D2","Germany","Bundesliga 2","Regensburg","Duisburg",4,0,"H",13,10,6,5,67.2727272727273,69,68.5,67.25,66.25,64.5714285714286,67.9090909090909,68,67,69,67.25,66.2857142857143,4,4
"14449",14449,18093,"2016/2017","2017-03-13 00:00:00","T1","Turkey","Futbol Ligi 1","Akhisar Belediyespor","Trabzonspor",1,3,"A",NA,NA,NA,NA,71.5454545454545,69,70.5,72.25,72,69.1428571428571,75.7272727272727,78,73,75.75,76.5,71.8571428571429,-2,4
"8104",8104,10454,"2017/2018","2018-03-03 00:00:00","I2","Italy","Serie B","Ascoli","Salernitana",1,3,"A",9,8,3,7,67,67,68,67.25,66.25,64.8571428571429,69.5454545454545,67,72.5,68.75,69.5,67.1428571428571,-2,4
"3307",3307,4650,"2018/2019","2018-12-23 00:00:00","D1","Germany","Bundesliga 1","Hoffenheim","Mainz",1,1,"D",28,12,7,5,79.6363636363636,83,77,79.75,80,76.2857142857143,75.8181818181818,79,74,76,75.75,73,0,2
"14858",14858,18584,"2016/2017","2017-02-26 00:00:00","D2","Germany","Bundesliga 2","Nurnberg","Bochum",0,1,"A",NA,NA,NA,NA,71.1818181818182,70,71.5,71.75,70.75,68.2857142857143,70.8181818181818,72,69,70.25,72,67.1428571428571,-1,1
"17011",17011,21177,"2016/2017","2016-11-20 00:00:00","SP2","Spain","La Liga Segunda Division","Tenerife","UCAM Murcia",2,1,"H",NA,NA,NA,NA,71.5454545454545,74,71.5,72.25,70.25,69.1428571428571,68.2727272727273,67,68.5,67.75,69,67,1,3
"10590",10590,13440,"2017/2018","2017-11-18 00:00:00","E2","England","League 1","Bury","Blackburn",0,3,"A",10,10,3,6,66.2727272727273,61,68,66.5,66.5,63.7142857142857,68.5454545454545,67,68,69.5,68.25,65.7142857142857,-3,3
"5356",5356,7095,"2018/2019","2018-09-22 00:00:00","D1","Germany","Bundesliga 1","Wolfsburg","Freiburg",1,3,"A",17,12,9,8,78.1818181818182,82,77.5,78.25,77.5,75,75.0909090909091,77,77,74.25,74.5,72,-2,4
"9417",9417,12015,"2017/2018","2018-01-06 00:00:00","E3","England","League 2","Forest Green","Port Vale",1,0,"H",10,9,3,2,62,59,61.5,62.25,62.75,57.7142857142857,63.3636363636364,62,64,62.75,64,60.8571428571429,1,1
"17905",17905,22245,"2016/2017","2016-10-09 00:00:00","I2","Italy","Serie B","Vicenza","Cesena",0,0,"D",NA,NA,NA,NA,69.4545454545455,70,70,68.75,69.75,65.8571428571429,70.5454545454545,70,71,70.75,70.25,67.1428571428571,0,0
"6724",6724,8741,"2017/2018","2018-05-04 00:00:00","E0","England","Premier League","Brighton","Man United",1,0,"H",11,16,4,3,75.1818181818182,77,75.5,76,73.75,72.8571428571429,84.9090909090909,90,87,85,82.5,80.7142857142857,1,1
"18398",18398,22835,"2016/2017","2016-09-18 00:00:00","N1","Netherlands","Eredivisie","Heracles","Ajax",0,2,"A",NA,NA,NA,NA,70,70,71,69.5,70,67.2857142857143,76.9090909090909,76,76,78,76.5,72.2857142857143,-2,2
"13405",13405,16775,"2016/2017","2017-04-29 00:00:00","SC0","Scotland","Premier League","Aberdeen","St Johnstone",0,2,"A",13,8,1,4,68.6363636363636,69,66,71,67.5,64.2857142857143,66.7272727272727,67,65.5,67.25,66.75,62.8571428571429,-2,2
"17148",17148,21340,"2016/2017","2016-11-18 00:00:00","B1","Belgium","Jupiler League","St Truiden","Club Brugge",0,1,"A",NA,NA,NA,NA,70.2727272727273,70,69,70.5,70.75,67.2857142857143,75.7272727272727,76,77,75.75,75,73.1428571428571,-1,1
"3478",3478,4850,"2018/2019","2018-12-16 00:00:00","SP2","Spain","La Liga Segunda Division","Las Palmas","Tenerife",1,1,"D",13,17,2,6,73.5454545454545,74,75.5,72.75,73.25,71.2857142857143,70.8181818181818,71,71,72.25,69.25,69,0,2
"12133",12133,15273,"2017/2018","2017-09-09 00:00:00","D2","Germany","Bundesliga 2","Bielefeld","Duisburg",0,4,"A",13,14,3,9,69.5454545454545,68,70.5,69,70,66.5714285714286,67.9090909090909,68,67,69,67.25,66.2857142857143,-4,4
"19075",19075,23670,"2016/2017","2016-08-19 00:00:00","SC0","Scotland","Premier League","Dundee","Hamilton",1,1,"D",8,8,5,4,65.3636363636364,65,64.5,66,65.25,59.7142857142857,65.0909090909091,65,63.5,65.5,65.5,61,0,2
"2512",2512,3676,"2018/2019","2019-02-02 00:00:00","E2","England","League 1","Shrewsbury","Luton",0,3,"A",12,9,3,7,65.1818181818182,63,63,66.25,65.75,63,66.5454545454545,66,68,67.25,65.25,63.4285714285714,-3,3
"6374",6374,8383,"2017/2018","2018-05-27 00:00:00","SP2","Spain","La Liga Segunda Division","Sevilla B","Numancia",2,1,"H",12,21,5,9,68.3636363636364,69,67.5,69.75,67.25,66.2857142857143,69.7272727272727,70,70,71,68.25,68.4285714285714,1,3
"16674",16674,20776,"2016/2017","2016-12-04 00:00:00","I1","Italy","Serie A","Sampdoria","Torino",2,0,"H",13,14,2,3,76.2727272727273,82,77.5,76.5,74,73.8571428571429,78.3636363636364,83,80.5,77,77.5,75.4285714285714,2,2
"14986",14986,18740,"2016/2017","2017-02-24 00:00:00","I2","Italy","Serie B","Benevento","Bari",3,4,"A",NA,NA,NA,NA,69.3636363636364,72,68,71,67.75,66.2857142857143,72.4545454545455,67,72.5,73.25,73,69,-1,7
"15943",15943,19873,"2016/2017","2017-01-14 00:00:00","SP2","Spain","La Liga Segunda Division","Vallecano","Sevilla B",1,1,"D",NA,NA,NA,NA,72,72,72,72.75,71.25,70.4285714285714,69.7272727272727,69,67.5,70.75,70,67.2857142857143,0,2
"11627",11627,14679,"2017/2018","2017-09-26 00:00:00","E1","England","Championship","Brentford","Derby",1,1,"D",14,3,2,2,71.6363636363636,71,71,72.5,71.25,68,73,74,72,73,73.25,70.2857142857143,0,2
"9466",9466,12111,"2017/2018","2018-01-01 00:00:00","E1","England","Championship","Bolton","Hull",1,0,"H",14,14,3,5,68.5454545454545,65,69,68.75,69,66.7142857142857,73.2727272727273,74,75.5,73.5,71.75,70.7142857142857,1,1
"15036",15036,18800,"2016/2017","2017-02-19 00:00:00","D2","Germany","Bundesliga 2","Karlsruhe","Union Berlin",1,2,"A",NA,NA,NA,NA,69.4545454545455,69,69.5,70.75,68.25,66.8571428571429,71.2727272727273,71,71,71.75,71,68.2857142857143,-1,3
"17037",17037,21203,"2016/2017","2016-11-20 00:00:00","SP1","Spain","La Liga Primera Division","Ath Bilbao","Villarreal",1,0,"H",12,6,5,2,80.9090909090909,79,82,81.25,80.5,76.5714285714286,81.5454545454545,84,80.5,81.75,81.25,77.5714285714286,1,1
"4002",4002,5474,"2018/2019","2018-11-25 00:00:00","B1","Belgium","Jupiler League","Lokeren","Charleroi",2,4,"A",12,14,7,10,70.8181818181818,69,72,71.25,70.25,68.4285714285714,71.7272727272727,73,72.5,71.5,71.25,69.8571428571429,-2,6
"5917",5917,7814,"2018/2019","2018-08-25 00:00:00","P1","Portugal","Liga I","Porto","Guimaraes",2,3,"A",18,8,10,3,81.2727272727273,82,80,82.5,80.5,77.2857142857143,75.1818181818182,77,74.5,75.5,74.75,73.1428571428571,-1,5
"6368",6368,8377,"2017/2018","2018-06-02 00:00:00","SP2","Spain","La Liga Segunda Division","Alcorcon","Reus Deportiu",3,0,"H",12,4,8,1,69.8181818181818,68,68.5,69.75,71,67.8571428571429,69.3636363636364,72,69,70,68.25,67.7142857142857,3,3
"3828",3828,5259,"2018/2019","2018-12-02 00:00:00","SP2","Spain","La Liga Segunda Division","Las Palmas","Oviedo",0,0,"D",5,10,1,0,73.5454545454545,74,75.5,72.75,73.25,71.2857142857143,72.3636363636364,71,72.5,72.75,72.25,69.5714285714286,0,0
"4540",4540,6132,"2018/2019","2018-10-27 00:00:00","SP2","Spain","La Liga Segunda Division","Mallorca","Las Palmas",2,2,"D",12,14,4,7,67.8181818181818,68,66.5,69.75,66.5,66.1428571428571,73.5454545454545,74,75.5,72.75,73.25,71.2857142857143,0,4
"5295",5295,7027,"2018/2019","2018-09-25 00:00:00","SP1","Spain","La Liga Primera Division","Ath Madrid","Huesca",3,0,"H",17,8,5,1,86.1818181818182,90,87,85.5,85.5,81.8571428571429,73.4545454545455,70,73.5,74,73.75,71,3,3
"11389",11389,14383,"2017/2018","2017-10-12 00:00:00","SP2","Spain","La Liga Segunda Division","Osasuna","Albacete",1,0,"H",11,8,3,2,73.3636363636364,71,73,74,73.5,72.1428571428571,69,64,69.5,69.25,69.75,66.2857142857143,1,1
"4881",4881,6534,"2018/2019","2018-10-07 00:00:00","SP1","Spain","La Liga Primera Division","Valencia","Barcelona",1,1,"D",10,10,3,5,81.8181818181818,83,81.5,82.25,81.25,78.5714285714286,87.3636363636364,89,92.5,85.75,86,82.8571428571429,0,2
"2379",2379,3532,"2018/2019","2019-02-09 00:00:00","D2","Germany","Bundesliga 2","Union Berlin","Sandhausen",2,0,"H",10,10,5,0,71.4545454545455,73,72,70,72.25,70.1428571428571,70.0909090909091,70,69.5,69.25,71.25,68.2857142857143,2,2
"4428",4428,5993,"2018/2019","2018-11-03 00:00:00","E3","England","League 2","Northampton","Crewe",2,0,"H",14,10,6,3,63.3636363636364,58,64.5,64,63.5,61.7142857142857,61.1818181818182,62,63.5,60,61,58.5714285714286,2,2
"11507",11507,14531,"2017/2018","2017-09-30 00:00:00","B1","Belgium","Jupiler League","Mouscron","Mechelen",2,2,"D",6,15,2,9,67,65,64.5,69,66.75,63.7142857142857,70.2727272727273,71,70,71.25,69.25,67.2857142857143,0,4
"4071",4071,5544,"2018/2019","2018-11-24 00:00:00","B1","Belgium","Jupiler League","Genk","Cercle Brugge",1,2,"A",14,3,5,2,75.2727272727273,73,77,77.25,73,71,69.7272727272727,73,68.5,70.5,68.75,65.8571428571429,-1,3
"8929",8929,11425,"2017/2018","2018-01-30 00:00:00","E1","England","Championship","Birmingham","Sunderland",3,1,"H",13,14,5,4,72.3636363636364,74,70,73.75,71.75,70.8571428571429,73.6363636363636,73,71.5,75,73.5,71,2,4
"12459",12459,15689,"2017/2018","2017-08-20 00:00:00","P1","Portugal","Liga I","Maritimo","Boavista",1,0,"H",10,9,2,1,71.0909090909091,75,72,69.25,71.5,69.2857142857143,72.3636363636364,72,72,73.75,71.25,69.2857142857143,1,1
"18493",18493,22949,"2016/2017","2016-09-17 00:00:00","E3","England","League 2","Accrington","Portsmouth",1,0,"H",9,5,4,0,62,59,62.5,62.5,62,58.8571428571429,65.1818181818182,66,64,65.75,65,62.2857142857143,1,1
"13022",13022,16363,"2016/2017","2017-05-16 00:00:00","E0","England","Premier League","Man City","West Brom",3,1,"H",21,5,10,2,84.5454545454545,83,86,86,82.75,80.2857142857143,76.8181818181818,80,74,77.25,77,71.5714285714286,2,4
"8570",8570,11008,"2017/2018","2018-02-13 00:00:00","E2","England","League 1","Bury","Southend",0,0,"D",16,12,5,5,66.2727272727273,61,68,66.5,66.5,63.7142857142857,67.0909090909091,62,66.5,67.25,68.5,63,0,0
"6887",6887,8939,"2017/2018","2018-04-27 00:00:00","F2","France","Division 2","Bourg Peronnas","Brest",2,4,"A",12,14,2,5,67.1818181818182,68,66.5,67,67.5,63.2857142857143,68.9090909090909,66,68,69.25,69.75,66.5714285714286,-2,6
"8772",8772,11241,"2017/2018","2018-02-04 00:00:00","SP1","Spain","La Liga Primera Division","Espanol","Barcelona",1,1,"D",7,12,2,2,78.3636363636364,83,78.5,79.5,76,77.8571428571429,86.4545454545455,85,92.5,85.75,84.5,81.4285714285714,0,2
"8573",8573,11011,"2017/2018","2018-02-13 00:00:00","E2","England","League 1","Northampton","Gillingham",1,2,"A",13,9,5,3,65.0909090909091,64,65,65.5,65,63.8571428571429,63.2727272727273,60,62.5,64,63.75,60.4285714285714,-1,3
"4718",4718,6341,"2018/2019","2018-10-21 00:00:00","I1","Italy","Serie A","Chievo","Atalanta",1,5,"A",3,15,2,8,76.5454545454545,80,78.5,77,74.25,73.4285714285714,77.3636363636364,71,82.5,77.75,76,73.4285714285714,-4,6
"13363",13363,16731,"2016/2017","2017-04-29 00:00:00","E3","England","League 2","Accrington","Luton",1,4,"A",17,16,7,6,62,59,62.5,62.5,62,58.8571428571429,62.8181818181818,55,64,63,64,60.2857142857143,-3,5
"7934",7934,10250,"2017/2018","2018-03-11 00:00:00","I1","Italy","Serie A","Bologna","Atalanta",0,1,"A",10,21,1,5,76.1818181818182,80,77,76.25,74.75,73.5714285714286,77.0909090909091,78,80,76,76.5,72.2857142857143,-1,1
"6307",6307,8296,"2018/2019","2018-08-04 00:00:00","E3","England","League 2","Cheltenham","Crawley Town",0,1,"A",14,15,3,5,63.2727272727273,63,64.5,62.5,63.5,60.1428571428571,63.9090909090909,63,63.5,63.5,64.75,60.2857142857143,-1,1
"11018",11018,13949,"2017/2018","2017-10-25 00:00:00","B1","Belgium","Jupiler League","Waasland-Beveren","Kortrijk",2,1,"H",20,7,10,3,68.9090909090909,70,68.5,69.25,68.5,66.4285714285714,70.0909090909091,70,71.5,71,68.5,68.1428571428571,1,3
"18607",18607,23092,"2016/2017","2016-09-11 00:00:00","I2","Italy","Serie B","Ternana","Spezia",1,1,"D",NA,NA,NA,NA,69.1818181818182,70,69.5,68,70,65.8571428571429,70.0909090909091,71,72,70,69,66.7142857142857,0,2
"12733",12733,16048,"2017/2018","2017-08-06 00:00:00","B1","Belgium","Jupiler League","Club Brugge","Eupen",3,1,"H",13,8,5,4,74.9090909090909,74,75.5,75.5,74.25,71.8571428571429,69.9090909090909,70,72.5,69,69.5,64.5714285714286,2,4
"12019",12019,15141,"2017/2018","2017-09-15 00:00:00","SP2","Spain","La Liga Segunda Division","Lugo","Zaragoza",2,1,"H",16,14,6,8,69.6363636363636,69,70.5,70.25,68.75,67.5714285714286,70.3636363636364,70,70,70,71,67.5714285714286,1,3
"16481",16481,20554,"2016/2017","2016-12-13 00:00:00","E1","England","Championship","Bristol City","Brentford",0,1,"A",18,13,3,5,71,72,70,70.75,71.5,69,71.5454545454545,70,71.5,72,71.5,67.7142857142857,-1,1
"14905",14905,18645,"2016/2017","2017-02-25 00:00:00","E0","England","Premier League","Everton","Sunderland",2,0,"H",20,10,8,1,81.0909090909091,76,80.5,81.75,82,78,76.9090909090909,76,78.5,77.5,75.75,75,2,2
"16044",16044,20014,"2016/2017","2017-01-07 00:00:00","E3","England","League 2","Hartlepool","Grimsby",0,1,"A",9,10,1,3,62.3636363636364,64,62.5,62,62.25,57.5714285714286,62.1818181818182,58,61,62,64,59.5714285714286,-1,1
"1761",1761,2773,"2018/2019","2019-03-03 00:00:00","P1","Portugal","Liga I","Rio Ave","Sp Braga",1,2,"A",8,14,2,3,72.0909090909091,71,75.5,72.25,70.5,70.5714285714286,77.6363636363636,78,78,77.5,77.5,75.4285714285714,-1,3
"8839",8839,11324,"2017/2018","2018-02-03 00:00:00","E2","England","League 1","Bristol Rvs","Shrewsbury",1,2,"A",8,5,2,3,65.3636363636364,64,65.5,65.75,65.25,62.1428571428571,63.9090909090909,63,63.5,64.5,63.75,62.1428571428571,-1,3
"11529",11529,14569,"2017/2018","2017-09-30 00:00:00","E2","England","League 1","Bury","Milton Keynes Dons",0,2,"A",26,18,11,8,66.2727272727273,61,68,66.5,66.5,63.7142857142857,67.0909090909091,66,66.5,67.5,67.25,63.8571428571429,-2,2
"17689",17689,22007,"2016/2017","2016-10-21 00:00:00","T1","Turkey","Futbol Ligi 1","Gaziantepspor","Kayserispor",1,2,"A",NA,NA,NA,NA,72.2727272727273,74,73,71.75,72,69.5714285714286,72.8181818181818,71,73.5,73.5,72.25,69.2857142857143,-1,3
"18901",18901,23467,"2016/2017","2016-08-27 00:00:00","F1","France","Le Championnat","Montpellier","Rennes",1,1,"D",11,12,5,2,75.3636363636364,75,74,76,75.5,70.7142857142857,76.4545454545455,82,74.5,76.5,76,71.7142857142857,0,2
"727",727,1484,"2018/2019","2019-04-20 00:00:00","I1","Italy","Serie A","Juventus","Fiorentina",2,1,"H",9,9,5,6,87,85,91.5,85.5,86.75,83.1428571428571,76.5454545454545,78,78,75.75,76.25,74,1,3
"11114",11114,14063,"2017/2018","2017-10-21 00:00:00","SP2","Spain","La Liga Segunda Division","Lorca","Tenerife",2,2,"D",18,6,11,4,67.5454545454545,67,67,67.75,67.75,65.7142857142857,72,75,73,72.25,70.5,69,0,4
"14101",14101,17626,"2016/2017","2017-04-01 00:00:00","E1","England","Championship","Rotherham","Fulham",0,1,"A",8,10,2,2,67.8181818181818,70,68.5,67.5,67.25,66,72.8181818181818,68,72.5,74.75,72.25,71.2857142857143,-1,1
"4783",4783,6414,"2018/2019","2018-10-20 00:00:00","B1","Belgium","Jupiler League","Genk","Eupen",2,1,"H",26,9,10,4,75.2727272727273,73,77,77.25,73,71,70,73,70.5,70.25,68.75,67.5714285714286,1,3
"5782",5782,7634,"2018/2019","2018-09-01 00:00:00","E1","England","Championship","Reading","Sheffield Weds",1,2,"A",12,10,4,4,70,70,71,68.25,71.25,67.8571428571429,71.6363636363636,73,73.5,72.25,69.75,69.5714285714286,-1,3
"19228",19228,23874,"2016/2017","2016-08-07 00:00:00","E1","England","Championship","Sheffield Weds","Aston Villa",1,0,"H",17,12,6,2,72.7272727272727,76,74,72.5,71.5,71.7142857142857,74.2727272727273,72,74.5,74.25,74.75,72.2857142857143,1,1
"17436",17436,21684,"2016/2017","2016-10-29 00:00:00","E2","England","League 1","Bolton","Port Vale",3,1,"H",19,8,12,3,68.5454545454545,65,67.5,69.5,69,66.2857142857143,65.3636363636364,53,64,67,67.5,62.1428571428571,2,4
"4034",4034,5507,"2018/2019","2018-11-24 00:00:00","E3","England","League 2","Morecambe","Notts County",1,1,"D",8,6,3,2,61.0909090909091,63,61,63.5,58.25,59.1428571428571,64.5454545454545,61,64.5,65,65,62.7142857142857,0,2
"6885",6885,8937,"2017/2018","2018-04-27 00:00:00","SP2","Spain","La Liga Segunda Division","Reus Deportiu","Zaragoza",1,1,"D",21,14,7,7,69.3636363636364,72,69,70,68.25,67.7142857142857,70.3636363636364,70,70,70,71,67.5714285714286,0,2
"8617",8617,11060,"2017/2018","2018-02-11 00:00:00","N1","Netherlands","Eredivisie","Excelsior","NAC Breda",0,0,"D",13,9,4,1,68.5454545454545,65,66.5,69.25,69.75,66.1428571428571,67,68,66,67.75,66.5,65.4285714285714,0,0
"17422",17422,21670,"2016/2017","2016-10-29 00:00:00","D2","Germany","Bundesliga 2","Union Berlin","Fortuna Dusseldorf",0,1,"A",NA,NA,NA,NA,71.2727272727273,71,71,71.75,71,68.2857142857143,70.2727272727273,75,69.5,69,70.75,68.4285714285714,-1,1
"7485",7485,9673,"2017/2018","2018-04-02 00:00:00","T1","Turkey","Futbol Ligi 1","Kayserispor","Fenerbahce",0,5,"A",8,12,3,7,73.4545454545455,73,76,73.75,72,70.5714285714286,78.5454545454545,80,76,79.5,78.5,76.1428571428571,-5,5
"9945",9945,12667,"2017/2018","2017-12-12 00:00:00","E0","England","Premier League","Huddersfield","Chelsea",1,3,"A",7,12,2,5,74.0909090909091,75,75,74.25,73.25,71,85.5454545454545,89,88,84.75,84.25,81.1428571428571,-2,4
"2407",2407,3563,"2018/2019","2019-02-09 00:00:00","I1","Italy","Serie A","Fiorentina","Napoli",0,0,"D",10,12,4,4,76.5454545454545,78,78,75.75,76.25,74,83.8181818181818,79,87.5,83.75,83.25,79.5714285714286,0,0
"580",580,1306,"2018/2019","2019-04-26 00:00:00","D2","Germany","Bundesliga 2","Ingolstadt","Dresden",1,0,"H",18,15,5,2,71.7272727272727,69,73,73.25,70.25,69,69.6363636363636,68,70,69.25,70.25,67.5714285714286,1,1
"14831",14831,18556,"2016/2017","2017-02-28 00:00:00","I2","Italy","Serie B","Cittadella","Trapani",3,2,"H",NA,NA,NA,NA,66,65,67,67.25,64.5,63,67.4545454545455,67,66,69.5,66.25,64.1428571428571,1,5
"6291",6291,8275,"2018/2019","2018-08-04 00:00:00","B1","Belgium","Jupiler League","Antwerp","Kortrijk",0,0,"D",24,0,12,0,72.8181818181818,74,74.5,72.75,71.75,70.2857142857143,70,72,72,70.25,68.25,69.1428571428571,0,0
"7484",7484,9672,"2017/2018","2018-04-02 00:00:00","E2","England","League 1","Charlton","Rotherham",3,1,"H",14,10,5,3,67.9090909090909,68,66,68.25,68.5,63.5714285714286,66,65,65.5,66.75,65.75,64.5714285714286,2,4
"789",789,1552,"2018/2019","2019-04-19 00:00:00","E1","England","Championship","QPR","Blackburn",1,2,"A",19,12,3,5,71,65,70.5,72.5,71.25,68.5714285714286,70.5454545454545,70,71.5,71,69.75,67.8571428571429,-1,3
"6943",6943,9006,"2017/2018","2018-04-22 00:00:00","SP1","Spain","La Liga Primera Division","Ath Madrid","Betis",0,0,"D",10,10,2,4,84.7272727272727,88,85.5,83.5,84.75,80.4285714285714,78.4545454545455,81,77.5,79.25,77.5,73.8571428571429,0,0
"10969",10969,13889,"2017/2018","2017-10-28 00:00:00","N1","Netherlands","Eredivisie","Roda","Feyenoord",1,1,"D",9,32,2,10,68,70,68,68.25,67.25,65.7142857142857,76.6363636363636,78,78,76,76.25,74.7142857142857,0,2
"13156",13156,16497,"2016/2017","2017-05-08 00:00:00","F2","France","Division 2","Lens","Strasbourg",1,1,"D",NA,NA,NA,NA,69.2727272727273,75,70.5,68.25,68.25,66,68.1818181818182,63,69,69.25,68,63.8571428571429,0,2
"18654",18654,23149,"2016/2017","2016-09-10 00:00:00","E1","England","Championship","Preston","Barnsley",1,2,"A",21,15,5,5,70.6363636363636,70,69.5,71.25,70.75,68,68.2727272727273,67,68,68.5,68.5,65.8571428571429,-1,3
