"","GameNum","X","Season","Date","Div","Country","League","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HomeOverall","HomeGoalkeeper","HomeAttacking","HomeMidfield","HomeDefense","HomeBench","AwayOverall","AwayGoalkeeper","AwayAttacking","AwayMidfield","AwayDefense","AwayBench","GoalDiff","TotalGoals"
"13923",13923,17426,"2016/2017","2017-04-08 00:00:00","E0","England","Premier League","Middlesbrough","Burnley",0,0,"D",12,7,5,2,76.7272727272727,82,78,76,75.5,73.4285714285714,75.5454545454545,79,74.5,75.75,75,72.1428571428571,0,0
"990",990,1803,"2018/2019","2019-04-09 00:00:00","E1","England","Championship","Swansea","Stoke",3,1,"H",31,2,8,1,72.9090909090909,72,75,73.25,71.75,70.5714285714286,74.9090909090909,80,74.5,74.75,74,72.8571428571429,2,4
"5908",5908,7797,"2018/2019","2018-08-25 00:00:00","E0","England","Premier League","Liverpool","Brighton",1,0,"H",22,6,8,2,84.1818181818182,85,84,86,82.25,81,76.9090909090909,79,77,77,76.25,75,1,1
"7517",7517,9717,"2017/2018","2018-04-01 00:00:00","F1","France","Le Championnat","Guingamp","Bordeaux",2,1,"H",14,15,6,6,75.1818181818182,75,75.5,75.5,74.75,71.5714285714286,76.2727272727273,82,74,78.25,74,73.5714285714286,1,3
"4159",4159,5673,"2018/2019","2018-11-11 00:00:00","N1","Netherlands","Eredivisie","Excelsior","Ajax",1,7,"A",13,29,3,12,67.8181818181818,66,67,69,67.5,65.5714285714286,80.3636363636364,80,82,80.5,79.5,75.8571428571429,-6,8
"2287",2287,3417,"2018/2019","2019-02-10 00:00:00","SP2","Spain","La Liga Segunda Division","Albacete","Mallorca",2,0,"H",8,10,3,1,69.9090909090909,69,70.5,68.5,71.25,67.2857142857143,67.8181818181818,68,66.5,69.75,66.5,66.1428571428571,2,2
"3562",3562,4947,"2018/2019","2018-12-15 00:00:00","E1","England","Championship","Ipswich","Wigan",1,0,"H",3,16,1,2,69.0909090909091,72,68,69,69,67.2857142857143,70.5454545454545,70,72,70.75,69.75,69.4285714285714,1,1
"19076",19076,23671,"2016/2017","2016-08-19 00:00:00","N1","Netherlands","Eredivisie","Excelsior","Den Haag",1,2,"A",NA,NA,NA,NA,68.3636363636364,74,67,68,68,66.1428571428571,68.7272727272727,69,69,68.75,68.5,66.8571428571429,-1,3
"1625",1625,2598,"2018/2019","2019-03-10 00:00:00","T1","Turkey","Futbol Ligi 1","Rizespor","Kayserispor",3,0,"H",12,16,6,4,71.7272727272727,72,73,73.75,69,69.2857142857143,73,74,73.5,73.25,72.25,69.8571428571429,3,3
"9811",9811,12521,"2017/2018","2017-12-16 00:00:00","SC0","Scotland","Premier League","Rangers","St Johnstone",1,3,"A",9,8,3,3,72.6363636363636,72,71,72.75,73.5,69,66.6363636363636,67,67,66.75,66.25,61.8571428571429,-2,4
"13428",13428,16819,"2016/2017","2017-04-28 00:00:00","T1","Turkey","Futbol Ligi 1","Gaziantepspor","Karabukspor",0,0,"D",NA,NA,NA,NA,72.2727272727273,74,73,71.75,72,69.5714285714286,71.4545454545455,71,71.5,72.5,70.5,67.7142857142857,0,0
"10223",10223,12997,"2017/2018","2017-12-02 00:00:00","E0","England","Premier League","Everton","Huddersfield",2,0,"H",6,5,4,3,81.3636363636364,77,81,82.5,81.5,78.5714285714286,74.0909090909091,75,75,74.25,73.25,71,2,2
"6504",6504,8513,"2017/2018","2018-05-12 00:00:00","SP2","Spain","La Liga Segunda Division","Reus Deportiu","Tenerife",1,1,"D",9,23,5,4,69.3636363636364,72,69,70,68.25,67.7142857142857,72,75,73,72.25,70.5,69,0,2
"5131",5131,6828,"2018/2019","2018-09-29 00:00:00","SC0","Scotland","Premier League","Hearts","St Johnstone",2,1,"H",22,9,10,3,69.6363636363636,69,70,69.25,70,65.8571428571429,66.3636363636364,66,66.5,66.75,66,63.1428571428571,1,3
"9368",9368,11944,"2017/2018","2018-01-13 00:00:00","E2","England","League 1","Blackpool","Bristol Rvs",0,0,"D",11,9,1,3,63.9090909090909,65,63,65,63,61.2857142857143,65.3636363636364,64,65.5,65.75,65.25,62.1428571428571,0,0
"15304",15304,19117,"2016/2017","2017-02-11 00:00:00","N1","Netherlands","Eredivisie","Vitesse","Willem II",0,2,"A",NA,NA,NA,NA,73.0909090909091,74,73.5,71.75,74,68.2857142857143,69.7272727272727,70,69.5,69.75,69.75,67.1428571428571,-2,2
"2503",2503,3666,"2018/2019","2019-02-02 00:00:00","I1","Italy","Serie A","Empoli","Chievo",2,2,"D",11,10,9,4,73.7272727272727,71,75,73.25,74.25,71.1428571428571,76.5454545454545,80,78.5,77,74.25,73.4285714285714,0,4
"14008",14008,17523,"2016/2017","2017-04-05 00:00:00","D2","Germany","Bundesliga 2","Bochum","Kaiserslautern",0,0,"D",NA,NA,NA,NA,70.8181818181818,72,69,70.25,72,67.1428571428571,70.1818181818182,69,68.5,71.5,70,67.1428571428571,0,0
"9274",9274,11828,"2017/2018","2018-01-16 00:00:00","F2","France","Division 2","Clermont","Valenciennes",3,0,"H",14,7,9,6,66,69,64,66.5,65.75,63.4285714285714,68.1818181818182,69,65.5,69,68.5,64.1428571428571,3,3
"2383",2383,3538,"2018/2019","2019-02-09 00:00:00","D1","Germany","Bundesliga 1","Freiburg","Wolfsburg",3,3,"D",10,15,4,4,75.0909090909091,77,77,74.25,74.5,72,78.1818181818182,82,77.5,78.25,77.5,75,0,6
